Attribute 1: Alcohol
Attribute 2: Malic_Acid
n: 9
1st Randomized: ,'[ 13.24,3.98 ]','[ 12.43,1.53 ]','[ 11.76,2.68 ]','[ 12.04,4.3 ]','[ 13.4,3.91 ]','[ 12.7,3.55 ]','[ 12.08,1.39 ]','[ 13.3,1.72 ]','[ 12.17,1.45 ]'
2nd Centroids: ,'[ 13.267777777777777,4.557777777777778 ]','[ 12.563529411764707,1.5064705882352942 ]','[ 11.994,2.4153333333333333 ]','[ 12.23375,4.58625 ]','[ 13.704117647058824,3.7494117647058824 ]','[ 12.71875,3.308125 ]','[ 11.904444444444444,1.2677777777777777 ]','[ 13.678088235294117,1.8026470588235295 ]','[ 12.248,1.425 ]'
3rd Centroids: ,'[ 13.411111111111111,4.942222222222222 ]','[ 12.745,1.4772727272727273 ]','[ 12.057222222222222,2.3255555555555554 ]','[ 12.117142857142857,4.412857142857143 ]','[ 13.68,3.694 ]','[ 12.801818181818183,3.264090909090909 ]','[ 11.775,1.2775 ]','[ 13.80298245614035,1.797719298245614 ]','[ 12.26625,1.32 ]'
4th Centroids: ,'[ 13.323,4.999 ]','[ 12.88,1.5072727272727273 ]','[ 12.058421052631578,2.2994736842105263 ]','[ 12.092857142857143,4.172857142857143 ]','[ 13.68625,3.635625 ]','[ 12.822857142857142,3.237142857142857 ]','[ 11.714,1.287 ]','[ 13.85173076923077,1.7892307692307692 ]','[ 12.289047619047619,1.321904761904762 ]'
5th Centroids: ,'[ 13.277777777777779,5.07 ]','[ 12.981,1.5695 ]','[ 12.058421052631578,2.2994736842105263 ]','[ 12.08125,4.08 ]','[ 13.688823529411765,3.678235294117647 ]','[ 12.887619047619047,3.1957142857142857 ]','[ 11.682222222222222,1.2622222222222221 ]','[ 13.88469387755102,1.7779591836734694 ]','[ 12.322692307692307,1.323076923076923 ]'
6th Centroids: ,'[ 13.27875,5.16875 ]','[ 13.062380952380952,1.638095238095238 ]','[ 12.058421052631578,2.2994736842105263 ]','[ 12.15,4.056666666666667 ]','[ 13.633157894736842,3.7194736842105263 ]','[ 12.888947368421052,3.1252631578947367 ]','[ 11.682222222222222,1.2622222222222221 ]','[ 13.924130434782608,1.761304347826087 ]','[ 12.340714285714286,1.3389285714285715 ]'
7th Centroids: ,'[ 13.27875,5.16875 ]','[ 13.087083333333334,1.6683333333333332 ]','[ 12.016666666666667,2.298888888888889 ]','[ 12.15,4.056666666666667 ]','[ 13.606111111111112,3.7977777777777777 ]','[ 12.98047619047619,3.0604761904761904 ]','[ 11.682222222222222,1.2622222222222221 ]','[ 13.952558139534883,1.7467441860465116 ]','[ 12.340714285714286,1.3389285714285715 ]'
8th Centroids: ,'[ 13.27875,5.16875 ]','[ 13.149615384615384,1.6896153846153845 ]','[ 11.985,2.3344444444444443 ]','[ 12.15,4.056666666666667 ]','[ 13.569411764705883,3.8758823529411766 ]','[ 13.063181818181818,3.0045454545454544 ]','[ 11.682222222222222,1.2622222222222221 ]','[ 13.98675,1.74225 ]','[ 12.352758620689656,1.3455172413793104 ]'
9th Centroids: ,'[ 13.27875,5.16875 ]','[ 13.17962962962963,1.667037037037037 ]','[ 11.985,2.3344444444444443 ]','[ 12.15,4.056666666666667 ]','[ 13.569411764705883,3.8758823529411766 ]','[ 13.067391304347826,2.9765217391304346 ]','[ 11.682222222222222,1.2622222222222221 ]','[ 14.009210526315789,1.743421052631579 ]','[ 12.352758620689656,1.3455172413793104 ]'
10th Centroids: ,'[ 13.27875,5.16875 ]','[ 13.208148148148148,1.642962962962963 ]','[ 11.985,2.3344444444444443 ]','[ 12.15,4.056666666666667 ]','[ 13.569411764705883,3.8758823529411766 ]','[ 13.056666666666667,2.94875 ]','[ 11.682222222222222,1.2622222222222221 ]','[ 14.020810810810811,1.7456756756756757 ]','[ 12.352758620689656,1.3455172413793104 ]'
11th Centroids: ,'[ 13.27875,5.16875 ]','[ 13.224642857142857,1.6289285714285715 ]','[ 11.985,2.3344444444444443 ]','[ 12.15,4.056666666666667 ]','[ 13.569411764705883,3.8758823529411766 ]','[ 13.056666666666667,2.94875 ]','[ 11.682222222222222,1.2622222222222221 ]','[ 14.030555555555555,1.7594444444444444 ]','[ 12.352758620689656,1.3455172413793104 ]'
12th Centroids: ,'[ 13.27875,5.16875 ]','[ 13.224642857142857,1.6289285714285715 ]','[ 11.985,2.3344444444444443 ]','[ 12.15,4.056666666666667 ]','[ 13.569411764705883,3.8758823529411766 ]','[ 13.056666666666667,2.94875 ]','[ 11.682222222222222,1.2622222222222221 ]','[ 14.030555555555555,1.7594444444444444 ]','[ 12.352758620689656,1.3455172413793104 ]'
Centroid 0: ,'[ 13.27875 , 5.16875]'
'[ 13.05 , 5.8 ]'
'[ 12.53 , 5.51 ]'
'[ 13.62 , 4.95 ]'
'[ 13.88 , 5.04 ]'
'[ 12.87 , 4.61 ]'
'[ 13.17 , 5.19 ]'
'[ 13.4 , 4.6 ]'
'[ 13.71 , 5.65 ]'
Centroid 1: ,'[ 13.224642857142857 , 1.6289285714285715]'
'[ 13.2 , 1.78 ]'
'[ 12.85 , 1.6 ]'
'[ 13.5 , 1.81 ]'
'[ 13.05 , 2.05 ]'
'[ 13.39 , 1.77 ]'
'[ 13.3 , 1.72 ]'
'[ 13.58 , 1.66 ]'
'[ 13.51 , 1.8 ]'
'[ 13.48 , 1.81 ]'
'[ 13.28 , 1.64 ]'
'[ 13.05 , 1.65 ]'
'[ 13.07 , 1.5 ]'
'[ 13.56 , 1.71 ]'
'[ 13.05 , 1.77 ]'
'[ 13.05 , 1.73 ]'
'[ 13.56 , 1.73 ]'
'[ 13.29 , 1.97 ]'
'[ 13.67 , 1.25 ]'
'[ 13.11 , 1.01 ]'
'[ 13.34 , 0.94 ]'
'[ 13.49 , 1.66 ]'
'[ 12.99 , 1.67 ]'
'[ 13.03 , 0.9 ]'
'[ 12.72 , 1.81 ]'
'[ 12.72 , 1.75 ]'
'[ 12.86 , 1.35 ]'
'[ 13.11 , 1.9 ]'
'[ 13.48 , 1.67 ]'
Centroid 2: ,'[ 11.985 , 2.3344444444444443]'
'[ 11.66 , 1.88 ]'
'[ 11.84 , 2.89 ]'
'[ 11.64 , 2.06 ]'
'[ 12.08 , 1.83 ]'
'[ 12.29 , 2.83 ]'
'[ 11.62 , 1.99 ]'
'[ 11.81 , 2.12 ]'
'[ 12.08 , 2.08 ]'
'[ 12.34 , 2.45 ]'
'[ 12.42 , 2.55 ]'
'[ 12.52 , 2.43 ]'
'[ 11.76 , 2.68 ]'
'[ 11.45 , 2.4 ]'
'[ 11.56 , 2.05 ]'
'[ 12.07 , 2.16 ]'
'[ 11.79 , 2.13 ]'
'[ 12.6 , 2.46 ]'
'[ 12.2 , 3.03 ]'
Centroid 3: ,'[ 12.15 , 4.056666666666667]'
'[ 12.7 , 3.87 ]'
'[ 11.46 , 3.74 ]'
'[ 12.0 , 3.43 ]'
'[ 12.42 , 4.43 ]'
'[ 11.87 , 4.31 ]'
'[ 12.04 , 4.3 ]'
'[ 12.25 , 4.72 ]'
'[ 12.25 , 3.88 ]'
'[ 12.36 , 3.83 ]'
Centroid 4: ,'[ 13.569411764705883 , 3.8758823529411766]'
'[ 12.93 , 3.8 ]'
'[ 14.22 , 3.99 ]'
'[ 13.41 , 3.84 ]'
'[ 13.24 , 3.98 ]'
'[ 14.21 , 4.04 ]'
'[ 14.38 , 3.59 ]'
'[ 13.05 , 3.86 ]'
'[ 13.49 , 3.59 ]'
'[ 13.16 , 3.57 ]'
'[ 13.08 , 3.9 ]'
'[ 13.84 , 4.12 ]'
'[ 13.69 , 3.26 ]'
'[ 13.73 , 4.36 ]'
'[ 13.45 , 3.7 ]'
'[ 13.4 , 3.91 ]'
'[ 13.27 , 4.28 ]'
'[ 14.13 , 4.1 ]'
Centroid 5: ,'[ 13.056666666666667 , 2.94875]'
'[ 13.16 , 2.36 ]'
'[ 13.24 , 2.59 ]'
'[ 13.64 , 3.1 ]'
'[ 12.29 , 3.17 ]'
'[ 12.77 , 3.43 ]'
'[ 12.88 , 2.99 ]'
'[ 12.81 , 2.31 ]'
'[ 12.7 , 3.55 ]'
'[ 12.84 , 2.96 ]'
'[ 12.93 , 2.81 ]'
'[ 13.36 , 2.56 ]'
'[ 13.52 , 3.17 ]'
'[ 13.32 , 3.24 ]'
'[ 13.5 , 3.12 ]'
'[ 12.79 , 2.67 ]'
'[ 13.23 , 3.3 ]'
'[ 12.45 , 3.03 ]'
'[ 12.85 , 3.27 ]'
'[ 12.96 , 3.45 ]'
'[ 13.78 , 2.76 ]'
'[ 12.82 , 3.37 ]'
'[ 13.58 , 2.58 ]'
'[ 12.77 , 2.39 ]'
'[ 13.17 , 2.59 ]'
Centroid 6: ,'[ 11.682222222222222 , 1.2622222222222221]'
'[ 11.96 , 1.09 ]'
'[ 12.0 , 0.92 ]'
'[ 11.84 , 0.89 ]'
'[ 11.65 , 1.67 ]'
'[ 11.82 , 1.72 ]'
'[ 11.61 , 1.35 ]'
'[ 11.41 , 0.74 ]'
'[ 11.03 , 1.51 ]'
'[ 11.82 , 1.47 ]'
Centroid 7: ,'[ 14.030555555555555 , 1.7594444444444444]'
'[ 14.23 , 1.71 ]'
'[ 14.37 , 1.95 ]'
'[ 14.2 , 1.76 ]'
'[ 14.39 , 1.87 ]'
'[ 14.06 , 2.15 ]'
'[ 14.83 , 1.64 ]'
'[ 13.86 , 1.35 ]'
